epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,273.189,1.29562,0.71079,1.07416,0.64849,0.6484,0.5972,0.28767,1.87237,0.92682,1.3992,0.000929136,0.000929136,0.000929136
108,275.377,1.25081,0.68753,1.04882,0.66156,0.66088,0.61497,0.28745,1.88546,0.90857,1.40401,0.00092442,0.00092442,0.00092442
109,277.512,1.32056,0.7276,1.09868,0.66134,0.64945,0.61312,0.28897,1.8938,0.91981,1.40583,0.000919704,0.000919704,0.000919704
110,279.636,1.30735,0.69453,1.07182,0.68583,0.66383,0.63901,0.29581,1.88023,0.92011,1.40082,0.000914989,0.000914989,0.000914989
111,281.759,1.28326,0.69104,1.04766,0.71428,0.65114,0.64166,0.29471,1.87625,0.9235,1.41371,0.000910273,0.000910273,0.000910273
112,283.827,1.24061,0.67807,1.04422,0.71222,0.63447,0.62459,0.28589,1.90293,0.9221,1.42169,0.000905557,0.000905557,0.000905557
113,285.945,1.22444,0.69239,1.07547,0.69969,0.62357,0.61342,0.27838,1.9657,0.94734,1.456,0.000900842,0.000900842,0.000900842
114,288.198,1.20859,0.67063,1.04435,0.71695,0.63913,0.62,0.27567,1.94776,0.93175,1.45124,0.000896126,0.000896126,0.000896126
115,290.347,1.23826,0.68728,1.06356,0.7023,0.64923,0.61908,0.29355,1.87473,0.93289,1.4218,0.00089141,0.00089141,0.00089141
116,292.466,1.2543,0.67599,1.03625,0.68581,0.64638,0.6118,0.28272,1.93287,0.95785,1.44212,0.000886694,0.000886694,0.000886694
117,294.643,1.21488,0.67182,1.06283,0.63448,0.62917,0.59218,0.27469,1.95023,0.99955,1.4523,0.000881979,0.000881979,0.000881979
118,296.789,1.21502,0.68029,1.05356,0.67136,0.62003,0.59667,0.27732,1.90155,0.9662,1.4209,0.000877263,0.000877263,0.000877263
119,298.967,1.20723,0.66575,1.03324,0.67524,0.61132,0.58474,0.26922,1.89812,0.95878,1.42387,0.000872547,0.000872547,0.000872547
120,301.248,1.22316,0.67673,1.04795,0.63798,0.67192,0.59508,0.27106,1.9567,0.96541,1.44792,0.000867832,0.000867832,0.000867832
121,303.38,1.21224,0.68176,1.05505,0.65854,0.62947,0.59869,0.27563,1.99885,0.99619,1.4732,0.000863116,0.000863116,0.000863116
122,305.519,1.22177,0.66809,1.0445,0.62035,0.6446,0.59921,0.27884,1.94904,0.97069,1.45209,0.0008584,0.0008584,0.0008584
123,307.644,1.2094,0.66619,1.04106,0.65349,0.66016,0.61072,0.28042,1.85905,0.96468,1.41615,0.000853685,0.000853685,0.000853685
124,309.872,1.2169,0.68272,1.0751,0.62318,0.64948,0.5846,0.2741,1.89998,0.97572,1.43667,0.000848969,0.000848969,0.000848969
125,311.947,1.20168,0.6571,1.04888,0.63972,0.62737,0.57894,0.26361,1.93996,0.99897,1.45604,0.000844253,0.000844253,0.000844253
126,314.105,1.20443,0.6651,1.03411,0.6891,0.61727,0.58403,0.2743,1.88091,0.94869,1.42544,0.000839537,0.000839537,0.000839537
